Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,roads,101280,101280,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,hydraulic,21780,21780,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,crop,28944303.3,28944303.3,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,buildLow56,26829381.6,26829381.6,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,buildLow44,59998866.05,59998866.05,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,buildHigh,9059520.6,9059520.6,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,telecom,114167.58,114167.58,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,electric,273375,273375,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,railways,16219350,16219350,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Dmg,hospitals,64288.14,64288.14,0,0.00
